model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,10,31.510292324233973,14.838059380830984,"25.98937439011121,16.647603769048942,10.418553561568956,6.296705802594831",0.028935185185185182,31.49432350992361,2563.859207868576
acg,10,63.43037398265826,49.52579684536808,"64.63123912848819,52.61304676874791,43.83104842275799,37.02785306147823",16.767939814814813,68.076385659633,3294.337182044983
hredqs,10,28.295805575332693,14.814636313115297,"25.952045133991007,16.56920408671915,10.43597358237024,6.30132244938079",0.0,28.114784291997264,3078.1414551734924
